year,country,religionCode,population,submitDate
1945,USA,chrstgen,110265118,1946-04-03
1945,USA,judgen,4641182,1946-10-01
1945,USA,islmgen,0,1946-02-03
1945,USA,budgen,1601218,1946-09-09
1945,USA,zorogen,0,1946-03-09
1945,USA,hindgen,0,1946-03-26
1945,USA,sikhgen,0,1946-11-08
1945,USA,shntgen,0,1946-09-24
1945,USA,taogen,0,1946-09-03
1945,USA,jaingen,0,1946-08-13
1950,USA,chrstgen,122994019,1951-01-01
1950,USA,judgen,6090837,1951-01-16
1950,USA,islmgen,0,1951-07-29
1950,USA,budgen,0,1951-05-03
1950,USA,zorogen,0,1951-09-07
1950,USA,hindgen,0,1951-04-14
1950,USA,sikhgen,0,1951-08-21
1950,USA,shntgen,0,1951-06-07
1950,USA,taogen,0,1951-03-23
1950,USA,jaingen,0,1951-07-24
1955,USA,chrstgen,134001770,1956-02-24
1955,USA,judgen,5333332,1956-08-07
1955,USA,islmgen,0,1956-06-05
1955,USA,budgen,90173,1956-01-23
1955,USA,zorogen,0,1956-10-06
1955,USA,hindgen,0,1956-03-27
1955,USA,sikhgen,0,1956-12-22
1955,USA,shntgen,0,1956-07-16
1955,USA,taogen,0,1956-06-07
1955,USA,jaingen,0,1956-12-28
1960,USA,chrstgen,150234347,1961-12-20
1960,USA,judgen,5500000,1961-04-07
1960,USA,islmgen,0,1961-03-18
1960,USA,budgen,2012131,1961-03-12
1960,USA,zorogen,0,1961-03-13
1960,USA,hindgen,0,1961-08-25
1960,USA,sikhgen,0,1961-04-07
1960,USA,shntgen,0,1961-04-04
1960,USA,taogen,0,1961-12-04
1960,USA,jaingen,0,1961-12-02
1965,USA,chrstgen,167515758,1966-12-07
1965,USA,judgen,5600000,1966-08-03
1965,USA,islmgen,0,1966-10-05
1965,USA,budgen,1080892,1966-10-03
1965,USA,zorogen,0,1966-12-28
1965,USA,hindgen,0,1966-09-04
1965,USA,sikhgen,0,1966-05-24
1965,USA,shntgen,0,1966-08-12
1965,USA,taogen,0,1966-03-27
1965,USA,jaingen,0,1966-07-07
1970,USA,chrstgen,172867051,1971-03-12
1970,USA,judgen,6150000,1971-06-27
1970,USA,islmgen,0,1971-09-18
1970,USA,budgen,1113861,1971-04-05
1970,USA,zorogen,0,1971-05-24
1970,USA,hindgen,0,1971-01-13
1970,USA,sikhgen,0,1971-05-04
1970,USA,shntgen,0,1971-12-29
1970,USA,taogen,0,1971-11-30
1970,USA,jaingen,0,1971-06-10
1975,USA,chrstgen,182810532,1976-07-25
1975,USA,judgen,6700000,1976-02-14
1975,USA,islmgen,0,1976-03-13
1975,USA,budgen,1019556,1976-03-14
1975,USA,zorogen,0,1976-01-25
1975,USA,hindgen,159778,1976-10-02
1975,USA,sikhgen,1597,1976-08-28
1975,USA,shntgen,0,1976-05-24
1975,USA,taogen,0,1976-03-08
1975,USA,jaingen,0,1976-01-28
1980,USA,chrstgen,186649864,1981-12-04
1980,USA,judgen,7259000,1981-11-05
1980,USA,islmgen,2666560,1981-03-19
1980,USA,budgen,1357967,1981-01-29
1980,USA,zorogen,0,1981-09-21
1980,USA,hindgen,995149,1981-07-15
1980,USA,sikhgen,0,1981-04-16
1980,USA,shntgen,0,1981-09-13
